类别	问 句
一般类	内 存 资 源 管 理 的 原 理 是 什 么 ？
一般类	系 统 对 页 面 进 行 管 理 有 哪 些 图 表 ？
一般类	系 统 在 寻 找 空 闲 区 时 可 采 用 哪 几 种 分 配 算 法 ？
一般类	页 式 存 储 管 理 的 原 理 是 什 么 ？
一般类	页 式 存 储 管 理 的 实 现 方 法 有 哪 些 ？
一般类	段 式 存 储 管 理 的 实 现 方 法 有 哪 些 ？
一般类	虚 拟 存 储 管 理 的 原 理 是 什 么 ？
一般类	页 面 淘 汰 算 法 有 哪 些 ？
一般类	影 响 缺 页 中 断 次 数 的 因 素 有 哪 些 ？
一般类	文 件 如 何 进 行 分 类 ？
一般类	按 性 质 和 用 途 分 类 ， 文 件 有 哪 些 类 别 ？
一般类	按 文 件 的 保 护 方 式 分 类 ， 文 件 有 哪 些 类 别 ？
一般类	按 文 件 的 物 理 结 构 分 类 ， 文 件 有 哪 些 类 别 ？
一般类	按 文 件 的 保 存 期 限 分 类 ， 文 件 有 哪 些 类 别 ？
一般类	U N I X 系 统 中 的 文 件 有 哪 些 类 别 ？
一般类	文 件 的 物 理 结 构 有 哪 些 ？
一般类	文 件 存 储 空 间 的 管 理 原 理 是 什 么 ？
一般类	文 件 存 取 控 制 原 理 是 什 么 ？
一般类	设 备 如 何 进 行 分 类 ？
一般类	按 资 源 分 配 的 角 度 分 类 ， 设 备 有 哪 些 类 别 ？
一般类	简 述 操 作 系 统 设 备 管 理 的 目 标 。
一般类	简 述 设 备 管 理 的 功 能 。
一般类	输 入 输 出 的 控 制 方 式 有 哪 些 ？
一般类	按 信 息 交 换 方 式 和 所 连 接 的 设 备 种 类 来 划 分 ， 通 道 有 哪 些 类 型 ？
一般类	通 道 的 运 算 控 制 部 件 有 哪 些 ？
一般类	设 备 分 配 策 略 有 哪 些 ？
一般类	设 备 管 理 的 基 本 数 据 结 构 有 哪 些 ？
一般类	磁 盘 调 度 有 哪 几 种 算 法 ？
一般类	简 述 网 络 操 作 系 统 的 基 本 任 务 。
一般类	单 机 操 作 系 统 有 哪 些 特 征 ？
一般类	N O S 的 特 点 是 什 么 ？
一般类	网 络 操 作 系 统 有 哪 几 种 类 型 ？
一般类	网 络 操 作 系 统 的 基 本 功 能 是 什 么 ？
一般类	W i n d o w s   N T 操 作 系 统 的 主 要 特 点 是 什 么 ？
一般类	W i n d o w s   N T   S e r v e r 内 置 了 哪 些 标 准 协 议 ？
一般类	W i n d o w s 中 有 哪 些 网 络 基 本 概 念 ？
一般类	简 述 N e t W a r e 内 核 的 网 络 服 务 与 管 理 任 务 。
一般类	简 述 N e t W a r e 操 作 系 统 的 安 全 保 密 机 制 。
一般类	N e t W a r e 操 作 系 统 的 容 错 技 术 有 哪 些 ？
一般类	L i n u x 操 作 系 统 的 特 点 是 什 么 ？
一般类	U N I X 操 作 系 统 的 特 点 是 什 么 ？
一般类	因 特 网 有 哪 些 信 息 资 源 ？
一般类	N I I 主 要 包 括 的 内 容 有 什 么 ？
一般类	因 特 网 主 要 由 哪 几 部 分 组 成 ？
一般类	I P 层 服 务 有 哪 些 ？
一般类	按 照 I P 地 址 的 逻 辑 层 次 来 划 分 ， I P 地 址 有 哪 些 类 别 ？
一般类	有 哪 些 著 名 的 T C P 端 口 号 ？
一般类	有 哪 些 著 名 的 U D P 端 口 号 ？
一般类	电 子 邮 件 的 优 点 有 哪 些 ？
一般类	远 程 登 录 服 务 的 功 能 有 哪 些 ？
一般类	F T P 客 户 端 应 用 程 序 有 哪 些 类 型 ？
一般类	简 述 W W W 服 务 的 特 点 。
一般类	目 前 主 要 的 搜 索 引 擎 有 哪 些 ？
一般类	因 特 网 提 供 哪 些 服 务 ？
一般类	简 述 常 见 的 大 型 数 据 库 系 统 。
一般类	C / S 的 缺 点 有 哪 些 ？
一般类	I n t r a n e t 服 务 有 哪 些 ？
一般类	I n t r a n e t 的 组 成 部 分 是 什 么 ？
一般类	简 述 网 络 管 理 的 目 标 。
一般类	网 络 管 理 功 能 有 哪 些 ？
一般类	简 述 配 置 管 理 的 功 能 。
一般类	简 述 配 置 管 理 的 内 容 。
一般类	简 述 故 障 管 理 的 功 能 。
一般类	简 述 计 费 管 理 的 功 能 。
一般类	简 述 安 全 管 理 的 功 能 。
一般类	网 络 管 理 协 议 有 哪 些 ？
一般类	信 息 安 全 的 基 本 要 素 有 哪 些 ？
一般类	简 述 网 络 安 全 的 内 容 。
一般类	安 全 威 胁 主 要 有 哪 些 方 面 ？
一般类	网 络 反 病 毒 技 术 有 哪 些 ？
一般类	安 全 管 理 遵 循 的 原 则 是 什 么 ？
一般类	数 据 加 密 技 术 有 哪 些 ？
一般类	从 通 信 网 络 传 输 方 面 来 看 ， 数 据 加 密 技 术 可 分 为 哪 几 类 ？
一般类	简 述 密 码 分 析 的 过 程 。
一般类	对 称 加 密 技 术 的 组 成 部 分 是 什 么 ？
一般类	常 用 的 对 称 加 密 算 法 有 哪 些 ？
一般类	公 钥 加 密 技 术 的 组 成 部 分 是 什 么 ？
一般类	常 用 的 公 钥 体 制 有 哪 些 ?
一般类	什 么 是 密 钥 的 生 存 周 期 ?
一般类	认 证 方 式 有 哪 些 ?
一般类	认 证 技 术 有 哪 些 ?
一般类	消 息 认 证 的 内 容 有 哪 些 ?
一般类	身 份 认 证 有 哪 些 类 别 ?
一般类	数 字 签 名 应 满 足 哪 些 要 求 ?
一般类	设 计 认 证 协 议 时 应 注 意 哪 些 问 题 ?
一般类	主 动 攻 击 有 哪 些 ?
一般类	防 火 墙 有 哪 些 类 别 ?
一般类	防 火 墙 在 网 络 系 统 中 的 作 用 是 什 么 ?
一般类	防 火 墙 提 供 哪 些 服 务 ?
一般类	根 据 网 络 系 统 的 安 全 需 要 ， 可 在 哪 些 位 置 部 署 防 火 墙 ?
一般类	电 子 商 务 的 交 易 类 型 有 哪 些 ?
一般类	电 子 商 务 的 优 点 有 哪 些 ?
一般类	电 子 商 务 的 应 用 范 围 有 哪 些 ?
一般类	E D I 的 特 点 有 哪 些 ?
一般类	简 述 E D I 的 工 作 流 程 。
一般类	E D I 的 接 入 方 式 有 哪 些 ?
一般类	电 子 商 务 存 在 哪 些 问 题 ?
一般类	电 子 商 务 的 体 系 结 构 分 为 哪 些 层 次 ?
一般类	电 子 商 务 应 用 系 统 有 哪 些 子 系 统 ?
一般类	电 子 商 务 应 用 环 境 中 使 用 哪 些 安 全 技 术 ?
一般类	电 子 支 付 方 式 有 哪 些 ?
一般类	简 述 S E T 的 设 计 目 标 。
一般类	S E T 协 议 主 要 涉 及 哪 些 当 事 人 ?
一般类	S E T 协 议 的 安 全 技 术 有 哪 些 ？
一般类	S E T 协 议 涉 及 哪 些 证 书 ?
一般类	浏 览 器 有 哪 些 安 全 特 性 ?
一般类	简 述 W e b 站 点 的 访 问 控 制 。
一般类	W e b 站 点 与 浏 览 器 的 安 全 通 信 的 组 成 部 分 是 什 么 ？
一般类	站 点 内 容 和 页 面 的 策 划 应 注 意 哪 些 问 题 ？
一般类	站 点 推 广 的 常 用 方 法 有 哪 几 种 ？
一般类	简 述 网 上 购 物 的 步 骤 。
一般类	数 据 通 信 网 有 哪 些 特 点 ?
一般类	简 述 宽 带 I S D N 的 目 标 。
一般类	简 述 R B B 的 组 成 。
一般类	简 述 R B B 的 主 要 技 术 。
一般类	宽 带 网 络 的 基 本 技 术 是 什 么 ？
一般类	简 述 光 纤 通 信 系 统 的 组 成 。
一般类	X . 2 5 协 议 使 用 哪 些 技 术 ？
一般类	帧 中 继 有 哪 些 组 成 部 分 ？
一般类	传 统 的 P D H 的 弱 点 是 什 么 ？
一般类	S D H 的 特 点 是 什 么 ？
一般类	S D H 组 网 的 网 络 单 元 是 什 么 ？
一般类	S D H 的 优 点 是 什 么 ？
一般类	S D H 的 缺 点 是 什 么 ？
一般类	简 述 信 元 头 的 内 容 。
一般类	A T M 中 采 用 了 哪 些 技 术 ？
一般类	A T M 的 特 点 是 什 么 ？
一般类	A T M 网 络 的 优 点 是 什 么 ？
一般类	接 入 网 的 主 要 功 能 是 什 么 ？
一般类	数 字 用 户 线 路 接 入 技 术 有 哪 些 类 型 ？
一般类	简 述 A D S L 的 特 点 。
一般类	H F C 接 入 技 术 的 特 点 是 什 么 ？
一般类	无 线 接 入 网 有 哪 些 特 点 ？
一般类	全 球 多 媒 体 网 络 的 技 术 有 哪 几 种 ？
一般类	全 球 多 媒 体 网 络 有 哪 些 研 究 领 域 ？
一般类	全 球 多 媒 体 网 络 有 哪 些 特 性 ？
一般类	计 算 机 网 络 由 哪 几 个 部 分 组 成 ？
一般类	简 述 面 向 连 接 服 务 的 特 点 。
一般类	简 述 无 连 接 服 务 的 特 点 。
一般类	简 述 无 连 接 服 务 的 优 缺 点 。
一般类	简 述 分 布 式 计 算 机 系 统 的 特 点 。
一般类	简 述 计 算 机 网 络 的 特 点 。
一般类	从 一 个 普 通 的 R F C 文 档 上 升 到 I n t e r n e t 的 正 式 标 准 要 经 过 哪 几 个 阶 段 ？
一般类	按 照 网 络 的 交 换 功 能 ， 计 算 机 网 络 可 以 划 分 为 哪 几 类 ？
一般类	按 网 络 的 拓 扑 结 构 ， 计 算 机 网 络 可 以 划 分 为 哪 几 类 ？
一般类	简 述 I S O / O S I 参 考 模 型 与 T C P / I P 模 型 的 相 同 点 。
一般类	简 述 I S O / O S I 参 考 模 型 与 T C P / I P 模 型 的 不 同 点 。
一般类	计 算 机 网 络 的 拓 扑 结 构 种 类 有 哪 些 ？
一般类	简 述 星 型 结 构 的 特 点 。
一般类	O S I 所 包 括 的 3 级 抽 象 是 什 么 ？
一般类	简 述 O S I 的 体 系 结 构 的 具 体 内 容 。
一般类	总 线 拓 扑 有 哪 些 优 点 ？
一般类	总 线 拓 扑 有 哪 些 缺 点 ？
一般类	终 端 系 统 由 哪 几 部 分 构 成 ？
一般类	网 络 协 议 由 哪 几 个 基 本 要 素 组 成 ？
一般类	简 述 采 用 层 次 化 方 法 的 优 点 。
一般类	O S I 参 考 模 型 的 层 次 划 分 原 则 是 什 么 ？
一般类	简 述 物 理 层 的 功 能 。
一般类	简 述 数 据 链 路 层 的 功 能 。
一般类	简 述 网 络 层 的 功 能 。
一般类	简 述 会 话 层 的 功 能 。
一般类	简 述 表 示 层 的 功 能 。
一般类	简 述 计 算 机 网 络 的 分 类 依 据 。
一般类	按 交 换 方 式 划 分 ， 计 算 机 网 络 有 哪 些 类 别 ？
一般类	按 拓 扑 结 构 划 分 ， 计 算 机 网 络 有 哪 些 类 别 ？
一般类	按 作 用 范 围 划 分 ， 计 算 机 网 络 有 哪 些 类 别 ？
一般类	简 述 专 用 网 与 公 用 网 的 区 别 。
一般类	简 述 协 议 的 具 体 内 容 。
一般类	简 述 协 议 与 服 务 的 区 别 。
一般类	三 网 融 合 指 什 么 ？
一般类	局 域 网 的 基 本 特 性 是 什 么 ？
一般类	城 域 网 的 基 本 特 性 是 什 么 ？
一般类	广 域 网 的 基 本 特 性 是 什 么 ？
一般类	电 路 交 换 有 哪 些 优 点 ？
一般类	电 路 交 换 有 哪 些 缺 点 ？
一般类	报 文 交 换 有 哪 些 优 点 ？
一般类	报 文 交 换 有 哪 些 缺 点 ？
一般类	分 组 交 换 有 哪 些 优 点 ？
一般类	分 组 交 换 有 哪 些 缺 点 ？
一般类	因 特 网 的 发 展 大 致 分 为 哪 几 个 阶 段 ？
一般类	简 述 三 级 计 算 机 网 络 的 内 容 。
一般类	因 特 网 标 准 的 制 定 有 哪 几 个 阶 段 ？
一般类	简 述 i n t e r n e t 与 I n t e r n e t 的 区 别 。
一般类	从 网 络 的 交 换 功 能 来 看 ， 计 算 机 网 络 可 划 分 为 哪 些 类 别 ？
一般类	简 述 电 路 交 换 的 内 容 。
一般类	从 网 络 的 作 用 范 围 来 看 ， 计 算 机 网 络 可 划 分 为 哪 些 类 别 ？
一般类	简 述 局 域 网 的 作 用 范 围 。
一般类	简 述 主 干 网 的 特 点 。
一般类	简 述 本 地 接 入 网 的 特 点 。
一般类	简 述 因 特 网 边 缘 部 分 的 特 点 。
一般类	简 述 因 特 网 核 心 部 分 的 特 点 。
一般类	客 户 / 服 务 器 方 式 与 对 等 通 信 方 式 的 主 要 区 别 是 什 么 ？
一般类	计 算 机 网 络 有 哪 些 常 用 的 性 能 指 标 ？
一般类	简 述 速 率 的 单 位 。
一般类	简 述 带 宽 的 单 位 。
一般类	时 延 有 哪 几 种 类 型 ？
一般类	处 理 时 延 与 排 队 时 延 有 什 么 区 别 ？
一般类	计 算 机 通 信 网 有 哪 些 非 性 能 特 征 ？
一般类	网 络 体 系 结 构 分 层 的 好 处 有 哪 些 ？
一般类	网 络 协 议 的 元 素 是 什 么 ？
一般类	具 有 5 层 协 议 的 网 络 体 系 结 构 包 含 哪 几 部 分 ？
一般类	简 述 传 递 信 息 的 物 理 媒 体 类 型 。
一般类	简 述 网 络 层 的 任 务 。
一般类	物 理 层 的 接 口 有 哪 几 个 方 面 的 特 性 ？
一般类	传 输 介 质 的 特 性 有 哪 些 ？
一般类	简 述 宽 带 信 号 的 传 输 特 点 。
一般类	简 述 基 本 控 制 电 路 的 类 型 。
一般类	简 述 附 加 电 路 的 类 型 。
一般类	如 何 减 少 传 输 介 质 的 衰 减 ？
一般类	常 用 的 有 线 传 输 介 质 有 哪 几 种 ？
一般类	常 用 的 无 线 传 输 介 质 有 哪 几 种 ？
一般类	按 照 复 用 方 式 的 不 同 ， 多 路 复 用 技 术 可 分 为 哪 几 类 ？
一般类	简 述 集 线 器 的 工 作 原 理 。
一般类	简 述 集 线 器 的 特 性 。
一般类	物 理 层 接 口 标 准 包 含 哪 方 面 的 特 性 ？
一般类	机 械 特 性 的 具 体 含 义 是 什 么 ？
一般类	电 气 特 性 的 具 体 含 义 是 什 么 ？
一般类	简 述 电 气 参 数 的 类 型 。
一般类	功 能 特 性 的 具 体 含 义 是 什 么 ？
一般类	物 理 层 要 解 决 什 么 问 题 ？
一般类	数 据 通 信 系 统 的 组 成 部 分 是 什 么 ？
一般类	源 系 统 的 组 成 部 分 是 什 么 ？
一般类	比 特 / 秒 与 码 元 / 秒 有 何 区 别 ？
一般类	常 用 的 传 输 媒 体 有 哪 几 种 ？
一般类	双 绞 线 有 何 特 点 ？
一般类	简 述 双 绞 线 的 优 缺 点 。
一般类	同 轴 电 缆 有 何 特 点 ？
一般类	简 述 同 轴 电 缆 的 优 点 。
一般类	光 导 纤 维 有 何 特 点 ？
一般类	简 述 光 纤 的 优 点 。
一般类	无 线 电 微 波 通 信 有 何 特 点 ？
一般类	简 述 无 线 电 微 波 通 信 的 优 点 。
一般类	简 述 地 面 微 波 接 力 通 信 的 缺 点 。
一般类	简 述 卫 星 通 信 的 优 缺 点 。
一般类	简 述 信 道 复 用 的 目 的 。
一般类	常 用 的 信 道 复 用 技 术 有 哪 些 ？
一般类	频 分 复 用 的 具 体 含 义 是 什 么 ？
一般类	频 分 复 用 的 特 点 是 什 么 ？
一般类	时 分 复 用 的 具 体 含 义 是 什 么 ？
一般类	时 分 复 用 的 特 点 是 什 么 ？
一般类	时 分 复 用 的 优 点 是 什 么 ？
一般类	时 分 复 用 的 缺 点 是 什 么 ？
一般类	波 分 复 用 的 特 点 是 什 么 ？
一般类	密 集 波 分 复 用 的 特 点 是 什 么 ？
一般类	S O N E T 的 特 点 是 什 么 ？
一般类	S D H 的 特 点 是 什 么 ？
一般类	简 述 C D M A 的 工 作 原 理 。
一般类	C D M A 有 何 优 点 ？
一般类	C D M A 有 何 缺 点 ？
一般类	简 述 A D S L 的 优 缺 点 。
一般类	无 线 接 入 技 术 的 优 点 是 什 么 ？
一般类	无 线 接 入 技 术 的 缺 点 是 什 么 ？
一般类	E P O N 的 优 点 是 什 么 ？
一般类	G P O N 的 特 点 是 什 么 ？
一般类	简 述 停 止 等 待 协 议 的 工 作 原 理 。
一般类	简 述 A R Q 协 议 的 工 作 原 理 。
一般类	发 送 窗 口 的 具 体 含 义 是 什 么 ？
一般类	接 收 窗 口 的 具 体 含 义 是 什 么 ？
一般类	正 常 响 应 方 式 的 特 点 是 什 么 ？
一般类	简 述 集 线 器 的 工 作 原 理 。
一般类	简 述 交 换 机 的 工 作 原 理 。
一般类	简 述 C S M A 技 术 的 P - 坚 持 算 法 规 则 。
一般类	C S M A / C D 的 特 点 是 什 么 ？
一般类	简 述 数 据 在 总 线 型 拓 扑 结 构 网 中 的 传 输 特 点 。
一般类	冲 突 的 具 体 含 义 是 什 么 ？
一般类	简 述 载 波 侦 听 多 路 访 问 技 术 的 工 作 原 理 。
一般类	千 兆 位 以 太 网 技 术 的 优 势 是 什 么 ？
一般类	数 据 链 路 层 的 具 体 含 义 是 什 么 ？
一般类	简 述 数 据 链 路 层 的 功 能 。
一般类	流 量 控 制 的 具 体 含 义 是 什 么 ？
一般类	简 述 流 量 控 制 的 作 用 。
一般类	简 述 P P P 协 议 的 组 成 。
一般类	链 路 控 制 协 议 的 具 体 含 义 是 什 么 ？
一般类	网 络 控 制 协 议 的 具 体 含 义 是 什 么 ？
一般类	常 用 的 差 错 控 制 的 方 法 有 哪 些 ？
一般类	检 错 重 发 有 什 么 特 点 ？
一般类	前 向 纠 错 有 什 么 特 点 ？
一般类	混 合 方 式 有 什 么 特 点 ？
一般类	信 息 反 馈 有 什 么 特 点 ？
